,League,Team,Week,Time,Name,PlayerPos,ActivePos,RealScore,ProjScore,PctPlayed
248,729457,9,1,0,Alfred Morris,RB,BN,1.8,8.4,12.0
249,729457,9,1,0,Matt Breida,RB,BN,5.1,9.63,10.0
250,729457,9,1,0,Stephen Gostkowski,K,K,9.0,11.17,99.0
251,729457,9,1,0,Philadelphia,DEF,DEF,10.0,7.47,89.0
252,729457,5,1,0,Tom Brady,QB,QB,22.28,20.23,96.0
253,729457,5,1,0,Davante Adams,WR,WR,14.8,12.32,99.0
254,729457,5,1,0,Golden Tate,WR,WR,13.9,8.84,86.0
255,729457,5,1,0,Jarvis Landry,WR,WR,12.6,8.96,85.0
256,729457,5,1,0,Derrick Henry,RB,RB,3.1,11.74,80.0
257,729457,5,1,0,Dion Lewis,RB,RB,17.0,9.22,55.0
258,729457,5,1,0,Rob Gronkowski,TE,TE,18.3,11.01,100.0
259,729457,5,1,0,Jamison Crowder,WR,W/R/T,3.2,7.85,32.0
260,729457,5,1,0,Mark Ingram,RB,BN,0.0,0.0,3.0
261,729457,5,1,0,Andrew Luck,QB,BN,20.46,18.03,38.0
262,729457,5,1,0,George Kittle,TE,BN,9.0,5.81,16.0
263,729457,5,1,0,Chris Thompson,RB,BN,18.8,8.97,23.0
264,729457,5,1,0,Matt Bryant,K,K,7.0,9.43,90.0
265,729457,5,1,0,Minnesota,DEF,DEF,18.0,7.3,96.0
266,729457,11,1,0,Ben Roethlisberger,QB,QB,12.0,17.9,52.0
267,729457,11,1,0,Odell Beckham Jr.,WR,WR,13.0,11.22,99.0
268,729457,11,1,0,T.Y. Hilton,WR,WR,10.6,9.72,94.0
269,729457,11,1,0,Emmanuel Sanders,WR,WR,21.5,7.88,47.0
270,729457,11,1,0,Leonard Fournette,RB,RB,5.5,18.73,99.0
271,729457,11,1,0,Christian McCaffrey,RB,RB,7.5,15.37,98.0
272,729457,11,1,0,Delanie Walker,TE,TE,5.2,7.4,83.0
273,729457,11,1,0,Lamar Miller,RB,W/R/T,10.9,13.16,80.0
274,729457,11,1,0,Carson Wentz,QB,BN,0.0,0.0,6.0
275,729457,11,1,0,Cooper Kupp,WR,BN,12.8,7.51,30.0
276,729457,11,1,0,Kerryon Johnson,RB,BN,3.7,9.8,22.0
